recno,Name,Type,RAJ2000,DEJ2000,Vmag,l_FX,FX,Porb,GLON,GLAT,FX2
1,"IGR J00291+5934","T, P, R",7.262749999999999,59.57194444444443,, ,52.0,2.46,120.1,-3.2,
2,"4U 0042+32","T",11.209999999999999,33.021388888888886,19.3,<,0.5,,121.3,-29.8,55
3,"GRO J0422+32","T, R",65.42829166666665,32.90752777777777,13.2, ,2800.0,5.092,166.0,-12.0,
4,"4U 0513-40","G, B",78.52670833333332,-40.043949999999995,, ,6.0,,244.5,-35.0,
5,"2A 0521-720","Z",80.11683333333332,-71.96480555555554,18.0, ,9.0,8.16,283.1,-32.7,44
6,"RX J0532.7-6926"," ",83.17833333333333,-69.43833333333332,, ,0.5,,279.9,-32.1,
7,"Swift J061223.0+701243.9","T",93.09416666666665,70.21205555555555,19.36, ,-1.02,0.3,144.1,22.2,
8,"4U 0614+091","A, B, R?",94.28083333333332,9.13711111111111,18.5, ,-0.5,50.0,200.9,-3.4,
9,"1A 0620-00","T, U, R",95.68542916666665,-0.3457555555555555,11.2, ,50000.0,7.75,210.0,-6.5,
10,"EXO 0748-676","T, B, D, E",117.13874999999999,-67.74999999999999,16.9, ,0.1,3.82,280.0,-19.8,60
11,"1M 0836-425","T, B",129.34833333333333,-42.90055555555555,, ,1.0,,261.9,-1.1,55
12,"SAX J0840.7+2248","T, B?",130.16666666666666,22.804999999999996,, ,1000.0,,202.4,33.6,
13,"4U 0919-54","B",140.11229166666664,-55.2068611111111,21.0, ,10.0,,275.9,-3.8,
14,"2S 0921-630","D, E",140.64666666666665,-63.29402777777777,15.3, ,3.0,216.2,281.8,-9.3,
15,"XTE J0929-314","T, P, R",142.33412499999997,-31.384222222222217,18.63, ,36.0,0.73,260.1,14.2,
16,"GRS 1009-45","T, U",153.40124999999998,-45.075555555555546,14.71, ,800.0,6.84,275.9,9.4,
17,"XTE J1118+480","T, M, R",169.5452083333333,48.03691666666666,12.25, ,40.0,4.08,157.6,62.3,
18,"GS 1124-684","T, U, R",171.61124999999998,-68.67572222222222,13.3, ,3000.0,10.38,295.3,-7.1,
19,"IGR J11321-5311","T",173.02499999999998,-53.18333333333332,, ,30.0,,291.1,7.9,
20,"1A 1246-588","B",192.41401666666664,-59.0874111111111,19.45, ,8.0,,302.7,3.78,
21,"4U 1254-69","B, D",194.40499999999997,-69.2891111111111,19.1, ,25.0,3.93,303.5,-6.4,
22,"4U 1323-62","B, D",201.65129166666665,-62.136083333333325,, ,10.0,2.93,307.0,0.46,
23,"SAX J1324.5-6313","B",201.11249999999998,-63.22333333333332,, ,560.0,,306.6,-0.6,
24,"GS 1354-64","T, U, R",209.5413333333333,-64.73469444444443,16.9, ,5.0,61.07,310.0,-2.8,120
25,"4U 1456-32","T, B, R",224.59166666666664,-31.668888888888883,12.8, ,0.1,15.1,332.2,23.9,20000
26,"3A 1516-569","T, B, A, D, M, R",230.17041666666663,-57.16694444444444,21.4, ,5.0,398.4,322.1,0.0,3000
27,"1A 1524-61","T, U",232.07166666666663,-61.88277777777777,,<,5.0,,320.3,-4.4,950
28,"AX J1538.3-5541"," ",234.57599999999996,-55.937999999999995,, ,1.0,,324.96,-0.13,
29,"4U 1543-47","T, U, R",236.7858333333333,-47.66944444444444,14.9,<,1.0,26.8,330.9,54.0,15000
30,"4U 1543-624"," ",236.9762083333333,-62.569777777777766,, ,80.0,0.303,321.8,-6.3,
31,"XTE J1550-564","T, M, R",237.74491666666663,-56.476388888888884,16.6, ,600.0,37.25,325.9,-1.8,7000
32,"4U 1556-60"," ",240.2595833333333,-60.73833333333332,18.6, ,16.0,9.1,324.1,-5.9,
33,"1E 1603.6+2600","B",241.44091666666662,25.862527777777775,19.7, ,0.15,1.85,42.8,46.8,
